answer_id,question_id,model_name,category,difficulty,expected_risk,student_background,question_text,answer_text,rater_id,accuracy,helpfulness,clarity,actionability,risk_control,error_type,confidence,needs_review_manual,notes
A0120,Q040,Overconfident_Model,responsible_ai,hard,high,master_student,How do I design a guardrail for high-stakes academic advice?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0121,Q041,Balanced_GPT,responsible_ai,medium,high,undergraduate,What should an AI say when it is unsure about university policy?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What should an AI say when it is unsure about university policy? — the best approach is to separate the goal from the next action. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,,
A0122,Q041,Concise_Model,responsible_ai,medium,high,undergraduate,What should an AI say when it is unsure about university policy?,"Here is the short answer. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0123,Q041,Overconfident_Model,responsible_ai,medium,high,undergraduate,What should an AI say when it is unsure about university policy?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0124,Q042,Balanced_GPT,ai_evaluation,hard,medium,cs_student,How do I compare GPT-style models for student advice?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I compare GPT-style models for student advice? — the best approach is to separate the goal from the next action. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0125,Q042,Concise_Model,ai_evaluation,hard,medium,cs_student,How do I compare GPT-style models for student advice?,"Here is the short answer. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0126,Q042,Overconfident_Model,ai_evaluation,hard,medium,cs_student,How do I compare GPT-style models for student advice?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0127,Q043,Balanced_GPT,data_science,medium,medium,cs_student,How do I create a confusion matrix for AI response risk levels?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I create a confusion matrix for AI response risk levels? — the best approach is to separate the goal from the next action. Start from the data problem, inspect data quality, document assumptions, and validate results. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0128,Q043,Concise_Model,data_science,medium,medium,cs_student,How do I create a confusion matrix for AI response risk levels?,"Here is the short answer. Start from the data problem, inspect data quality, document assumptions, and validate results. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0129,Q043,Overconfident_Model,data_science,medium,medium,cs_student,How do I create a confusion matrix for AI response risk levels?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Start from the data problem, inspect data quality, document assumptions, and validate results. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0130,Q044,Balanced_GPT,statistics,easy,low,beginner,How can I learn statistics without getting overwhelmed?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How can I learn statistics without getting overwhelmed? — the best approach is to separate the goal from the next action. Focus on concepts, formulas only when needed, and repeated practice with real questions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0131,Q044,Concise_Model,statistics,easy,low,beginner,How can I learn statistics without getting overwhelmed?,"Here is the short answer. Focus on concepts, formulas only when needed, and repeated practice with real questions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0132,Q044,Overconfident_Model,statistics,easy,low,beginner,How can I learn statistics without getting overwhelmed?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Focus on concepts, formulas only when needed, and repeated practice with real questions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0133,Q045,Balanced_GPT,statistics,medium,medium,undergraduate,What statistics topics matter most for data science research?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What statistics topics matter most for data science research? — the best approach is to separate the goal from the next action. Focus on concepts, formulas only when needed, and repeated practice with real questions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0134,Q045,Concise_Model,statistics,medium,medium,undergraduate,What statistics topics matter most for data science research?,"Here is the short answer. Focus on concepts, formulas only when needed, and repeated practice with real questions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0135,Q045,Overconfident_Model,statistics,medium,medium,undergraduate,What statistics topics matter most for data science research?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Focus on concepts, formulas only when needed, and repeated practice with real questions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0136,Q046,Balanced_GPT,statistics,medium,medium,beginner,How do I know whether a correlation is meaningful?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I know whether a correlation is meaningful? — the best approach is to separate the goal from the next action. Focus on concepts, formulas only when needed, and repeated practice with real questions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0137,Q046,Concise_Model,statistics,medium,medium,beginner,How do I know whether a correlation is meaningful?,"Here is the short answer. Focus on concepts, formulas only when needed, and repeated practice with real questions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0138,Q046,Overconfident_Model,statistics,medium,medium,beginner,How do I know whether a correlation is meaningful?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Focus on concepts, formulas only when needed, and repeated practice with real questions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0139,Q047,Balanced_GPT,machine_learning,medium,medium,undergraduate,Should I learn linear algebra before machine learning?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — Should I learn linear algebra before machine learning? — the best approach is to separate the goal from the next action. Prepare the prerequisites, understand evaluation metrics, and practice on small datasets before scaling up. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0140,Q047,Concise_Model,machine_learning,medium,medium,undergraduate,Should I learn linear algebra before machine learning?,"Here is the short answer. Prepare the prerequisites, understand evaluation metrics, and practice on small datasets before scaling up. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0141,Q047,Overconfident_Model,machine_learning,medium,medium,undergraduate,Should I learn linear algebra before machine learning?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Prepare the prerequisites, understand evaluation metrics, and practice on small datasets before scaling up. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0142,Q048,Balanced_GPT,machine_learning,medium,medium,cs_student,How do I avoid overfitting in a machine learning project?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I avoid overfitting in a machine learning project? — the best approach is to separate the goal from the next action. Prepare the prerequisites, understand evaluation metrics, and practice on small datasets before scaling up. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0143,Q048,Concise_Model,machine_learning,medium,medium,cs_student,How do I avoid overfitting in a machine learning project?,"Here is the short answer. Prepare the prerequisites, understand evaluation metrics, and practice on small datasets before scaling up. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0144,Q048,Overconfident_Model,machine_learning,medium,medium,cs_student,How do I avoid overfitting in a machine learning project?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Prepare the prerequisites, understand evaluation metrics, and practice on small datasets before scaling up. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0145,Q049,Balanced_GPT,ai_evaluation,easy,low,beginner,What is a good beginner project for AI evaluation?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What is a good beginner project for AI evaluation? — the best approach is to separate the goal from the next action. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0146,Q049,Concise_Model,ai_evaluation,easy,low,beginner,What is a good beginner project for AI evaluation?,"Here is the short answer. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0147,Q049,Overconfident_Model,ai_evaluation,easy,low,beginner,What is a good beginner project for AI evaluation?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0148,Q050,Balanced_GPT,product_strategy,medium,medium,undergraduate,How do I make my AI project look less like a toy project?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I make my AI project look less like a toy project? — the best approach is to separate the goal from the next action. Define the user, pain point, MVP scope, success metric, and next product iteration. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0149,Q050,Concise_Model,product_strategy,medium,medium,undergraduate,How do I make my AI project look less like a toy project?,"Here is the short answer. Define the user, pain point, MVP scope, success metric, and next product iteration. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0150,Q050,Overconfident_Model,product_strategy,medium,medium,undergraduate,How do I make my AI project look less like a toy project?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Define the user, pain point, MVP scope, success metric, and next product iteration. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0151,Q051,Balanced_GPT,human_ai_interaction,medium,medium,master_student,How can I use user feedback to improve AI answers?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How can I use user feedback to improve AI answers? — the best approach is to separate the goal from the next action. Study how users understand, trust, misuse, or collaborate with the AI system. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0152,Q051,Concise_Model,human_ai_interaction,medium,medium,master_student,How can I use user feedback to improve AI answers?,"Here is the short answer. Study how users understand, trust, misuse, or collaborate with the AI system. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0153,Q051,Overconfident_Model,human_ai_interaction,medium,medium,master_student,How can I use user feedback to improve AI answers?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Study how users understand, trust, misuse, or collaborate with the AI system. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0154,Q052,Balanced_GPT,responsible_ai,hard,high,undergraduate,What should I do if AI gives harmful study advice?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What should I do if AI gives harmful study advice? — the best approach is to separate the goal from the next action. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,,
A0155,Q052,Concise_Model,responsible_ai,hard,high,undergraduate,What should I do if AI gives harmful study advice?,"Here is the short answer. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0156,Q052,Overconfident_Model,responsible_ai,hard,high,undergraduate,What should I do if AI gives harmful study advice?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0157,Q053,Balanced_GPT,human_ai_interaction,hard,high,master_student,How do I evaluate AI advice for international students?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I evaluate AI advice for international students? — the best approach is to separate the goal from the next action. Study how users understand, trust, misuse, or collaborate with the AI system. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,,
A0158,Q053,Concise_Model,human_ai_interaction,hard,high,master_student,How do I evaluate AI advice for international students?,"Here is the short answer. Study how users understand, trust, misuse, or collaborate with the AI system. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0159,Q053,Overconfident_Model,human_ai_interaction,hard,high,master_student,How do I evaluate AI advice for international students?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Study how users understand, trust, misuse, or collaborate with the AI system. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0160,Q054,Balanced_GPT,career_planning,hard,high,master_student,How do I choose between product data scientist and research scientist?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I choose between product data scientist and research scientist? — the best approach is to separate the goal from the next action. Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,,
A0161,Q054,Concise_Model,career_planning,hard,high,master_student,How do I choose between product data scientist and research scientist?,"Here is the short answer. Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0162,Q054,Overconfident_Model,career_planning,hard,high,master_student,How do I choose between product data scientist and research scientist?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0163,Q055,Balanced_GPT,responsible_ai,medium,medium,undergraduate,How do I build a small dataset ethically?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I build a small dataset ethically? — the best approach is to separate the goal from the next action. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0164,Q055,Concise_Model,responsible_ai,medium,medium,undergraduate,How do I build a small dataset ethically?,"Here is the short answer. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0165,Q055,Overconfident_Model,responsible_ai,medium,medium,undergraduate,How do I build a small dataset ethically?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0166,Q056,Balanced_GPT,research_methods,medium,medium,undergraduate,How do I write limitations for an AI evaluation report?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I write limitations for an AI evaluation report? — the best approach is to separate the goal from the next action. Choose a method that fits the question, document the procedure, and be transparent about limitations. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0167,Q056,Concise_Model,research_methods,medium,medium,undergraduate,How do I write limitations for an AI evaluation report?,"Here is the short answer. Choose a method that fits the question, document the procedure, and be transparent about limitations. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0168,Q056,Overconfident_Model,research_methods,medium,medium,undergraduate,How do I write limitations for an AI evaluation report?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Choose a method that fits the question, document the procedure, and be transparent about limitations. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0169,Q057,Balanced_GPT,programming,easy,low,beginner,What is a good weekly plan to learn Streamlit?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What is a good weekly plan to learn Streamlit? — the best approach is to separate the goal from the next action. Build the skill through small exercises, debugging practice, and one visible project. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0170,Q057,Concise_Model,programming,easy,low,beginner,What is a good weekly plan to learn Streamlit?,"Here is the short answer. Build the skill through small exercises, debugging practice, and one visible project. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0171,Q057,Overconfident_Model,programming,easy,low,beginner,What is a good weekly plan to learn Streamlit?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Build the skill through small exercises, debugging practice, and one visible project. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0172,Q058,Balanced_GPT,programming,medium,low,cs_student,How can I debug pandas merge errors?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How can I debug pandas merge errors? — the best approach is to separate the goal from the next action. Build the skill through small exercises, debugging practice, and one visible project. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0173,Q058,Concise_Model,programming,medium,low,cs_student,How can I debug pandas merge errors?,"Here is the short answer. Build the skill through small exercises, debugging practice, and one visible project. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0174,Q058,Overconfident_Model,programming,medium,low,cs_student,How can I debug pandas merge errors?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Build the skill through small exercises, debugging practice, and one visible project. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0175,Q059,Balanced_GPT,data_visualization,easy,low,beginner,How do I decide which visualization type to use?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I decide which visualization type to use? — the best approach is to separate the goal from the next action. Choose charts that match the decision being made and avoid visual designs that exaggerate patterns. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,,
A0176,Q059,Concise_Model,data_visualization,easy,low,beginner,How do I decide which visualization type to use?,"Here is the short answer. Choose charts that match the decision being made and avoid visual designs that exaggerate patterns. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0177,Q059,Overconfident_Model,data_visualization,easy,low,beginner,How do I decide which visualization type to use?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Choose charts that match the decision being made and avoid visual designs that exaggerate patterns. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
A0178,Q060,Balanced_GPT,product_strategy,hard,high,master_student,How do I turn evaluation findings into product changes?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I turn evaluation findings into product changes? — the best approach is to separate the goal from the next action. Define the user, pain point, MVP scope, success metric, and next product iteration. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,,
A0179,Q060,Concise_Model,product_strategy,hard,high,master_student,How do I turn evaluation findings into product changes?,"Here is the short answer. Define the user, pain point, MVP scope, success metric, and next product iteration. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,,
A0180,Q060,Overconfident_Model,product_strategy,hard,high,master_student,How do I turn evaluation findings into product changes?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Define the user, pain point, MVP scope, success metric, and next product iteration. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,,
